t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
55,55,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
55,55,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
56,56,EVTOL-01,EC35,31.3139115,120.5976550,199.9,BUSY,M-P-001,V2
56,56,L-UAV-01,AMZN,31.3059544,120.6022441,100.0,BUSY,M-L-001,V2
56,56,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
56,56,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
57,57,EVTOL-01,EC35,31.3136561,120.5973528,199.9,BUSY,M-P-001,V2
57,57,L-UAV-01,AMZN,31.3060899,120.6022392,100.0,BUSY,M-L-001,V2
57,57,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
57,57,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
58,58,EVTOL-01,EC35,31.3133732,120.5970862,199.9,BUSY,M-P-001,V2
58,58,L-UAV-01,AMZN,31.3062179,120.6021871,100.0,BUSY,M-L-001,V2
58,58,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
58,58,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
59,59,EVTOL-01,EC35,31.3130663,120.5968588,199.9,BUSY,M-P-001,V2
59,59,L-UAV-01,AMZN,31.3063268,120.6020925,100.0,BUSY,M-L-001,V2
59,59,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
59,59,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
60,60,EVTOL-01,EC35,31.3127395,120.5966734,199.9,BUSY,M-P-001,V2
60,60,L-UAV-01,AMZN,31.3064066,120.6019643,100.0,BUSY,M-L-001,V2
60,60,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
60,60,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
61,61,EVTOL-01,EC35,31.3123969,120.5965325,199.9,BUSY,M-P-001,V2
61,61,L-UAV-01,AMZN,31.3064500,120.6018140,100.0,BUSY,M-L-001,V2
61,61,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
61,61,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
62,62,EVTOL-01,EC35,31.3120428,120.5964377,199.9,BUSY,M-P-001,V2
62,62,L-UAV-01,AMZN,31.3064530,120.6016554,100.0,BUSY,M-L-001,V2
62,62,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
62,62,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
63,63,EVTOL-01,EC35,31.3116819,120.5963904,199.9,BUSY,M-P-001,V2
63,63,L-UAV-01,AMZN,31.3064155,120.6015030,100.0,BUSY,M-L-001,V2
63,63,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
63,63,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
64,64,EVTOL-01,EC35,31.3113190,120.5963715,199.9,BUSY,M-P-001,V2
64,64,L-UAV-01,AMZN,31.3063407,120.6013706,100.0,BUSY,M-L-001,V2
64,64,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
64,64,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
65,65,EVTOL-01,EC35,31.3109562,120.5963525,199.9,BUSY,M-P-001,V2
65,65,L-UAV-01,AMZN,31.3062355,120.6012705,100.0,BUSY,M-L-001,V2
65,65,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
65,65,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
66,66,EVTOL-01,EC35,31.3105934,120.5963335,199.9,BUSY,M-P-001,V2
66,66,L-UAV-01,AMZN,31.3061159,120.6011960,100.0,BUSY,M-L-001,V2
66,66,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
66,66,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
67,67,EVTOL-01,EC35,31.3102305,120.5963146,199.9,BUSY,M-P-001,V2
67,67,L-UAV-01,AMZN,31.3059962,120.6011216,100.0,BUSY,M-L-001,V2
67,67,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
67,67,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
68,68,EVTOL-01,EC35,31.3098677,120.5962956,199.9,BUSY,M-P-001,V2
68,68,L-UAV-01,AMZN,31.3058765,120.6010471,100.0,BUSY,M-L-001,V2
68,68,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
68,68,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
69,69,EVTOL-01,EC35,31.3095049,120.5962767,199.9,BUSY,M-P-001,V2
69,69,L-UAV-01,AMZN,31.3057568,120.6009727,100.0,BUSY,M-L-001,V2
69,69,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
69,69,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
70,70,EVTOL-01,EC35,31.3091421,120.5962577,199.9,BUSY,M-P-001,V2
70,70,L-UAV-01,AMZN,31.3056371,120.6008982,100.0,BUSY,M-L-001,V2
70,70,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
70,70,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
71,71,EVTOL-01,EC35,31.3087792,120.5962387,199.9,BUSY,M-P-001,V2
71,71,L-UAV-01,AMZN,31.3055174,120.6008237,100.0,BUSY,M-L-001,V2
71,71,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
71,71,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
72,72,EVTOL-01,EC35,31.3084164,120.5962198,199.9,BUSY,M-P-001,V2
72,72,L-UAV-01,AMZN,31.3053977,120.6007493,100.0,BUSY,M-L-001,V2
72,72,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
72,72,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
73,73,EVTOL-01,EC35,31.3080536,120.5962008,199.9,BUSY,M-P-001,V2
73,73,L-UAV-01,AMZN,31.3052780,120.6006748,100.0,BUSY,M-L-001,V2
73,73,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
73,73,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
74,74,EVTOL-01,EC35,31.3076907,120.5961819,199.9,BUSY,M-P-001,V2
74,74,L-UAV-01,AMZN,31.3051583,120.6006004,100.0,BUSY,M-L-001,V2
74,74,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
74,74,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
75,75,EVTOL-01,EC35,31.3073279,120.5961629,199.9,BUSY,M-P-001,V2
75,75,L-UAV-01,AMZN,31.3050386,120.6005259,100.0,BUSY,M-L-001,V2
75,75,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
75,75,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
76,76,EVTOL-01,EC35,31.3069651,120.5961440,199.9,BUSY,M-P-001,V2
76,76,L-UAV-01,AMZN,31.3049190,120.6004515,100.0,BUSY,M-L-001,V2
76,76,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
76,76,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
77,77,EVTOL-01,EC35,31.3066023,120.5961250,199.9,BUSY,M-P-001,V2
77,77,L-UAV-01,AMZN,31.3047993,120.6003770,100.0,BUSY,M-L-001,V2
77,77,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
77,77,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
78,78,EVTOL-01,EC35,31.3062394,120.5961060,199.9,BUSY,M-P-001,V2
78,78,L-UAV-01,AMZN,31.3046796,120.6003025,100.0,BUSY,M-L-001,V2
78,78,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
78,78,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
79,79,EVTOL-01,EC35,31.3058766,120.5960871,199.9,BUSY,M-P-001,V2
79,79,L-UAV-01,AMZN,31.3045599,120.6002281,100.0,BUSY,M-L-001,V2
79,79,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
