t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
63,63,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
64,64,EVTOL-01,EC35,31.3101848,120.5962893,199.9,BUSY,M-P-001,V2
64,64,L-UAV-01,AMZN,31.3055688,120.6020078,100.0,BUSY,M-L-001,V3
64,64,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
64,64,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
65,65,EVTOL-01,EC35,31.3098219,120.5962710,199.9,BUSY,M-P-001,V2
65,65,L-UAV-01,AMZN,31.3056827,120.6020943,100.0,BUSY,M-L-001,V3
65,65,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
65,65,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
66,66,EVTOL-01,EC35,31.3094591,120.5962527,199.9,BUSY,M-P-001,V2
66,66,L-UAV-01,AMZN,31.3057966,120.6021808,100.0,BUSY,M-L-001,V3
66,66,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
66,66,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
67,67,EVTOL-01,EC35,31.3090962,120.5962343,199.9,BUSY,M-P-001,V2
67,67,L-UAV-01,AMZN,31.3059105,120.6022672,100.0,BUSY,M-L-001,V2
67,67,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
67,67,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
68,68,EVTOL-01,EC35,31.3087334,120.5962160,199.9,BUSY,M-P-001,V2
68,68,L-UAV-01,AMZN,31.3060410,120.6023099,100.0,BUSY,M-L-001,V2
68,68,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
68,68,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
69,69,EVTOL-01,EC35,31.3083705,120.5961977,199.9,BUSY,M-P-001,V2
69,69,L-UAV-01,AMZN,31.3061765,120.6023049,100.0,BUSY,M-L-001,V2
69,69,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
69,69,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
70,70,EVTOL-01,EC35,31.3080077,120.5961794,199.9,BUSY,M-P-001,V2
70,70,L-UAV-01,AMZN,31.3063045,120.6022528,100.0,BUSY,M-L-001,V2
70,70,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
70,70,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
71,71,EVTOL-01,EC35,31.3076448,120.5961611,199.9,BUSY,M-P-001,V2
71,71,L-UAV-01,AMZN,31.3064134,120.6021583,100.0,BUSY,M-L-001,V2
71,71,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
71,71,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
72,72,EVTOL-01,EC35,31.3072820,120.5961427,199.9,BUSY,M-P-001,V2
72,72,L-UAV-01,AMZN,31.3064932,120.6020300,100.0,BUSY,M-L-001,V2
72,72,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
72,72,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
73,73,EVTOL-01,EC35,31.3069191,120.5961244,199.9,BUSY,M-P-001,V2
73,73,L-UAV-01,AMZN,31.3065366,120.6018797,100.0,BUSY,M-L-001,V2
73,73,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
73,73,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
74,74,EVTOL-01,EC35,31.3065563,120.5961061,199.9,BUSY,M-P-001,V2
74,74,L-UAV-01,AMZN,31.3065396,120.6017211,100.0,BUSY,M-L-001,V2
74,74,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
74,74,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
75,75,EVTOL-01,EC35,31.3061934,120.5960878,199.9,BUSY,M-P-001,V2
75,75,L-UAV-01,AMZN,31.3065021,120.6015687,100.0,BUSY,M-L-001,V2
75,75,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
75,75,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
76,76,EVTOL-01,EC35,31.3058305,120.5960695,199.9,BUSY,M-P-001,V2
76,76,L-UAV-01,AMZN,31.3064273,120.6014364,100.0,BUSY,M-L-001,V2
76,76,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
76,76,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
77,77,EVTOL-01,EC35,31.3054677,120.5960511,199.9,BUSY,M-P-001,V2
77,77,L-UAV-01,AMZN,31.3063221,120.6013362,100.0,BUSY,M-L-001,V2
77,77,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
77,77,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
78,78,EVTOL-01,EC35,31.3051048,120.5960328,199.9,BUSY,M-P-001,V2
78,78,L-UAV-01,AMZN,31.3062025,120.6012617,100.0,BUSY,M-L-001,V2
78,78,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
78,78,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
79,79,EVTOL-01,EC35,31.3047420,120.5960145,199.9,BUSY,M-P-001,V2
79,79,L-UAV-01,AMZN,31.3060829,120.6011871,100.0,BUSY,M-L-001,V2
79,79,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
